9501 東証1部 東京電力ホールディングス(株)（電気・ガス業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2014-01-06","513","517","513","516","16167700","516"
"2014-01-07","513","516","510","511","10716400","511"
"2014-01-08","513","516","512","516","8922900","516"
"2014-01-09","514","517","510","512","10193700","512"
"2014-01-10","508","513","505","509","12084100","509"
"2014-01-14","504","506","489","491","35947500","491"
"2014-01-15","497","510","483","497","50904900","497"
"2014-01-16","510","519","496","500","60733100","500"
"2014-01-17","493","496","485","492","21013900","492"
"2014-01-20","492","494","488","490","10273700","490"
"2014-01-21","490","497","488","488","10783100","488"
"2014-01-22","490","494","486","493","13937300","493"
"2014-01-23","491","493","488","488","9765500","488"
"2014-01-24","485","490","483","484","16061600","484"
"2014-01-27","472","477","467","470","16625300","470"
"2014-01-28","469","474","451","451","21227100","451"
"2014-01-29","462","482","460","479","28655400","479"
"2014-01-30","470","472","462","465","13602200","465"
"2014-01-31","468","472","459","470","13791000","470"
"2014-02-03","470","470","451","454","16332500","454"
"2014-02-04","434","437","421","424","30095400","424"
"2014-02-05","430","435","414","423","18722100","423"
"2014-02-06","420","451","420","440","30012100","440"
"2014-02-07","444","491","444","489","57947300","489"
"2014-02-10","494","498","466","479","94759800","479"
"2014-02-12","479","493","472","485","67762500","485"
"2014-02-13","480","486","467","469","35951600","469"
"2014-02-14","469","475","454","458","24953100","458"
"2014-02-17","455","470","453","468","17567200","468"
"2014-02-18","470","479","458","475","26509000","475"
"2014-02-19","470","477","463","466","31666200","466"
"2014-02-20","461","466","453","455","17746200","455"
"2014-02-21","458","466","457","463","17178200","463"
"2014-02-24","467","472","462","470","14502600","470"
"2014-02-25","472","480","468","475","15503900","475"
"2014-02-26","472","482","470","479","24781300","479"
"2014-02-27","477","478","471","471","9860500","471"
"2014-02-28","471","475","469","474","10223600","474"
"2014-03-03","467","468","455","464","15293300","464"
"2014-03-04","459","471","458","467","18748700","467"
"2014-03-05","471","472","458","460","18788100","460"
"2014-03-06","460","467","459","466","9477200","466"
"2014-03-07","467","468","460","463","10780000","463"
"2014-03-10","460","464","457","461","11261500","461"
"2014-03-11","460","461","453","454","15338200","454"
"2014-03-12","450","455","439","439","20141200","439"
"2014-03-13","439","447","428","428","23165300","428"
"2014-03-14","420","421","409","411","35689300","411"
"2014-03-17","407","420","404","411","20121100","411"
"2014-03-18","415","420","412","413","10733300","413"
"2014-03-19","412","413","402","403","13529700","403"
"2014-03-20","400","400","373","376","43039500","376"
"2014-03-24","360","396","355","388","46931100","388"
"2014-03-25","380","392","376","385","17127800","385"
"2014-03-26","386","393","382","388","12920400","388"
"2014-03-27","384","402","382","400","15036700","400"
"2014-03-28","397","409","396","407","13686600","407"
"2014-03-31","413","418","407","416","14136700","416"
"2014-04-01","414","416","401","405","13935400","405"
"2014-04-02","404","412","404","405","9158100","405"
"2014-04-03","406","409","403","404","7240400","404"
"2014-04-04","406","408","403","407","7045700","407"
"2014-04-07","405","406","396","400","8246100","400"
"2014-04-08","396","397","384","390","10443900","390"
"2014-04-09","386","389","380","381","11799000","381"
"2014-04-10","386","391","380","382","9962400","382"
"2014-04-11","377","391","374","385","12951300","385"
"2014-04-14","386","391","384","385","7254900","385"
"2014-04-15","388","389","373","375","12047100","375"
"2014-04-16","376","388","375","388","11490900","388"
"2014-04-17","392","396","387","388","10624200","388"
"2014-04-18","390","391","384","389","5136500","389"
"2014-04-21","389","403","388","396","11990800","396"
"2014-04-22","403","417","400","405","29844400","405"
"2014-04-23","404","409","397","399","11878400","399"
"2014-04-24","402","403","394","397","5867300","397"
"2014-04-25","395","402","394","396","4933800","396"
"2014-04-28","394","395","385","387","7344000","387"
"2014-04-30","389","392","383","386","7966700","386"
"2014-05-01","391","404","389","401","19527600","401"
"2014-05-02","401","403","394","396","11360800","396"
"2014-05-07","391","392","384","386","9591000","386"
"2014-05-08","387","394","386","392","8755100","392"
"2014-05-09","390","395","389","392","8275400","392"
"2014-05-12","392","394","389","389","6407300","389"
"2014-05-13","393","394","391","393","4624700","393"
"2014-05-14","390","393","389","393","5542200","393"
"2014-05-15","390","394","390","392","4788900","392"
"2014-05-16","387","389","386","387","5626700","387"
"2014-05-19","386","387","377","378","7443800","378"
"2014-05-20","376","385","376","383","8978000","383"
"2014-05-21","380","384","379","379","5870500","379"
"2014-05-22","382","383","374","377","9786000","377"
"2014-05-23","379","388","379","384","7059100","384"
"2014-05-26","390","393","388","393","6805100","393"
"2014-05-27","393","398","392","392","6773800","392"
"2014-05-28","394","397","391","392","7060200","392"
"2014-05-29","391","395","390","392","5914900","392"
"2014-05-30","394","445","391","413","52058400","413"
"2014-06-02","410","424","410","417","28270000","417"
"2014-06-03","421","447","419","444","65737400","444"
"2014-06-04","439","443","433","435","28441100","435"
"2014-06-05","435","445","429","431","21154900","431"
"2014-06-06","436","436","426","430","16431900","430"
"2014-06-09","433","437","429","432","9485500","432"
"2014-06-10","432","433","422","424","9724300","424"
"2014-06-11","422","432","422","427","10581500","427"
"2014-06-12","424","427","422","425","6661200","425"
"2014-06-13","420","427","420","425","8956600","425"
"2014-06-16","423","425","410","412","12219500","412"
"2014-06-17","415","419","412","415","6036200","415"
"2014-06-18","416","418","412","415","4096800","415"
"2014-06-19","415","421","414","419","11849800","419"
"2014-06-20","423","435","418","425","24817400","425"
"2014-06-23","429","430","422","422","11835500","422"
"2014-06-24","420","428","419","422","12169200","422"
"2014-06-25","420","428","419","419","10526000","419"
"2014-06-26","422","424","420","421","10484000","421"
"2014-06-27","420","433","419","424","23486300","424"
"2014-06-30","424","429","421","422","10734700","422"
"2014-07-01","424","427","422","424","10537700","424"
"2014-07-02","429","433","423","425","14379200","425"
"2014-07-03","428","439","424","434","28426900","434"
"2014-07-04","435","436","430","430","10511100","430"
"2014-07-07","430","443","430","432","18181300","432"
"2014-07-08","433","434","423","425","11257100","425"
"2014-07-09","422","424","417","418","10597000","418"
"2014-07-10","419","421","410","410","9108100","410"
"2014-07-11","404","408","401","407","10366700","407"
"2014-07-14","408","413","408","411","5729900","411"
"2014-07-15","411","415","407","410","7582400","410"
"2014-07-16","410","415","409","411","7618000","411"
"2014-07-17","414","415","408","408","5643800","408"
"2014-07-18","404","409","401","404","6715900","404"
"2014-07-22","406","410","406","408","4467500","408"
"2014-07-23","409","410","407","409","5777000","409"
"2014-07-24","408","413","408","409","8719400","409"
"2014-07-25","409","411","407","409","5848600","409"
"2014-07-28","408","410","407","409","4320100","409"
"2014-07-29","409","411","407","407","4067500","407"
"2014-07-30","407","412","405","411","9915600","411"
"2014-07-31","410","410","405","405","7453200","405"
"2014-08-01","403","404","396","400","11236300","400"
"2014-08-04","398","404","396","398","8041600","398"
"2014-08-05","399","402","395","396","6874000","396"
