6758 東証1部 ソニー(株)（電気機器）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2017-01-04","3305","3333","3274","3333","5914000","3333"
"2017-01-05","3335","3337","3269","3296","7201700","3296"
"2017-01-06","3328","3374","3311","3316","8873600","3316"
"2017-01-10","3345","3439","3344","3394","11461200","3394"
"2017-01-11","3464","3550","3462","3510","13620000","3510"
"2017-01-12","3524","3562","3500","3532","10792300","3532"
"2017-01-13","3531","3549","3499","3549","6291400","3549"
"2017-01-16","3517","3555","3504","3514","4661500","3514"
"2017-01-17","3514","3570","3491","3504","8670400","3504"
"2017-01-18","3450","3496","3433","3484","5916700","3484"
"2017-01-19","3525","3525","3467","3498","4824900","3498"
"2017-01-20","3488","3493","3456","3472","5136900","3472"
"2017-01-23","3472","3473","3418","3432","4635800","3432"
"2017-01-24","3443","3470","3410","3418","5296500","3418"
"2017-01-25","3465","3472","3421","3445","4184300","3445"
"2017-01-26","3500","3525","3485","3520","7162400","3520"
"2017-01-27","3530","3540","3488","3505","4833600","3505"
"2017-01-30","3478","3506","3463","3502","4475900","3502"
"2017-01-31","3362","3453","3362","3423","11075000","3423"
"2017-02-01","3351","3423","3351","3410","5793200","3410"
"2017-02-02","3420","3435","3352","3369","4920200","3369"
"2017-02-03","3537","3600","3507","3537","18522300","3537"
"2017-02-06","3585","3610","3572","3589","8769400","3589"
"2017-02-07","3619","3626","3591","3599","7352800","3599"
"2017-02-08","3585","3588","3550","3573","4480600","3573"
"2017-02-09","3564","3589","3542","3561","4213500","3561"
"2017-02-10","3604","3608","3575","3590","4913600","3590"
"2017-02-13","3606","3616","3568","3587","4150500","3587"
"2017-02-14","3607","3607","3569","3572","3716300","3572"
"2017-02-15","3604","3604","3575","3595","3478400","3595"
"2017-02-16","3600","3600","3538","3560","5843800","3560"
"2017-02-17","3527","3562","3516","3547","3378800","3547"
"2017-02-20","3526","3531","3501","3508","3884400","3508"
"2017-02-21","3517","3532","3491","3521","2663600","3521"
"2017-02-22","3569","3591","3526","3535","5128400","3535"
"2017-02-23","3513","3525","3500","3515","3179100","3515"
"2017-02-24","3514","3525","3482","3486","3575400","3486"
"2017-02-27","3442","3475","3430","3454","3889300","3454"
"2017-02-28","3473","3532","3473","3478","5951700","3478"
"2017-03-01","3491","3542","3490","3529","4228100","3529"
"2017-03-02","3593","3614","3568","3583","5829100","3583"
"2017-03-03","3620","3649","3589","3602","6400000","3602"
"2017-03-06","3588","3596","3552","3560","3436000","3560"
"2017-03-07","3534","3540","3511","3522","4356600","3522"
"2017-03-08","3512","3519","3481","3513","3710200","3513"
"2017-03-09","3531","3545","3524","3532","3218500","3532"
"2017-03-10","3630","3664","3613","3661","11681800","3661"
"2017-03-13","3638","3665","3617","3659","5237600","3659"
"2017-03-14","3650","3657","3620","3635","3905700","3635"
"2017-03-15","3601","3609","3585","3604","3641000","3604"
"2017-03-16","3581","3626","3581","3619","5151800","3619"
"2017-03-17","3614","3655","3604","3639","5517500","3639"
"2017-03-21","3650","3653","3613","3627","3805300","3627"
"2017-03-22","3580","3591","3545","3553","6345600","3553"
"2017-03-23","3557","3573","3522","3540","4283600","3540"
"2017-03-24","3538","3622","3527","3603","5787100","3603"
"2017-03-27","3569","3594","3555","3577","5320800","3577"
"2017-03-28","3581","3610","3581","3605","5905300","3605"
"2017-03-29","3630","3721","3629","3704","11163400","3704"
"2017-03-30","3712","3737","3710","3734","7935600","3734"
"2017-03-31","3750","3792","3747","3766","12478000","3766"
"2017-04-03","3725","3728","3646","3664","10377700","3664"
"2017-04-04","3657","3706","3638","3674","6615700","3674"
"2017-04-05","3670","3701","3628","3655","5945700","3655"
"2017-04-06","3600","3620","3541","3555","7076700","3555"
"2017-04-07","3580","3580","3515","3547","6615000","3547"
"2017-04-10","3546","3566","3533","3553","3422000","3553"
"2017-04-11","3546","3548","3507","3532","3620100","3532"
"2017-04-12","3460","3477","3423","3458","5427300","3458"
"2017-04-13","3422","3456","3405","3446","4693400","3446"
"2017-04-14","3453","3459","3412","3422","3675700","3422"
"2017-04-17","3408","3473","3402","3453","4304800","3453"
"2017-04-18","3468","3494","3448","3456","3392400","3456"
"2017-04-19","3461","3523","3459","3506","6237600","3506"
"2017-04-20","3488","3604","3482","3571","9105900","3571"
"2017-04-21","3600","3608","3565","3592","6766500","3592"
"2017-04-24","3740","3758","3713","3730","13301800","3730"
"2017-04-25","3718","3737","3695","3715","7521100","3715"
"2017-04-26","3744","3748","3709","3742","6751600","3742"
"2017-04-27","3748","3797","3737","3762","7040700","3762"
"2017-04-28","3775","3782","3735","3759","5239500","3759"
"2017-05-01","3820","3898","3814","3873","11271900","3873"
"2017-05-02","3860","3875","3830","3853","6540300","3853"
"2017-05-08","3910","3998","3901","3989","12743900","3989"
"2017-05-09","3991","4080","3989","4024","10807300","4024"
"2017-05-10","4049","4088","4042","4081","7718600","4081"
"2017-05-11","4083","4091","4054","4073","5245100","4073"
"2017-05-12","4055","4061","4025","4046","5588200","4046"
"2017-05-15","4006","4023","3983","4005","5697700","4005"
"2017-05-16","4037","4055","4015","4023","4236400","4023"
"2017-05-17","4040","4055","4017","4033","4756200","4033"
"2017-05-18","3950","3991","3931","3942","7592000","3942"
"2017-05-19","3940","3976","3931","3937","7781000","3937"
