6758 東証1部 ソニー(株)（電気機器）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2019-01-04","5148","5185","5025","5182","9040000","5182"
"2019-01-07","5403","5482","5335","5370","6878000","5370"
"2019-01-08","5395","5408","5310","5376","5764200","5376"
"2019-01-09","5439","5465","5373","5413","5033800","5413"
"2019-01-10","5349","5385","5223","5246","6571100","5246"
"2019-01-11","5287","5342","5280","5320","5670700","5320"
"2019-01-15","5392","5458","5300","5447","7343800","5447"
"2019-01-16","5472","5480","5317","5356","4434800","5356"
"2019-01-17","5392","5410","5340","5366","3914600","5366"
"2019-01-18","5367","5435","5355","5429","3983700","5429"
"2019-01-21","5509","5522","5416","5436","3491800","5436"
"2019-01-22","5421","5429","5330","5352","3784800","5352"
"2019-01-23","5351","5388","5290","5349","3909600","5349"
"2019-01-24","5242","5283","5215","5259","5336500","5259"
"2019-01-25","5283","5373","5283","5324","6737000","5324"
"2019-01-28","5361","5404","5324","5373","4011500","5373"
"2019-01-29","5340","5378","5281","5349","4300900","5349"
"2019-01-30","5321","5330","5280","5281","4806800","5281"
"2019-01-31","5399","5467","5388","5467","6314000","5467"
"2019-02-01","5500","5568","5458","5499","6193600","5499"
"2019-02-04","5099","5117","5011","5055","21628000","5055"
"2019-02-05","5099","5143","5002","5037","11266200","5037"
"2019-02-06","5039","5051","4828","4839","19028100","4839"
"2019-02-07","4775","4822","4704","4713","13001700","4713"
"2019-02-08","4919","5030","4900","4906","18692900","4906"
"2019-02-12","4949","4959","4818","4854","13583000","4854"
"2019-02-13","4873","4992","4873","4980","12017200","4980"
"2019-02-14","5011","5039","4952","5038","9559400","5038"
"2019-02-15","5001","5066","4968","5046","8126200","5046"
"2019-02-18","5058","5086","5010","5080","7346500","5080"
"2019-02-19","5082","5149","5073","5149","7419300","5149"
"2019-02-20","5160","5277","5156","5274","11952400","5274"
"2019-02-21","5260","5358","5228","5340","11638900","5340"
"2019-02-22","5260","5342","5250","5313","7374000","5313"
"2019-02-25","5345","5398","5336","5377","7084600","5377"
"2019-02-26","5390","5437","5306","5331","7105000","5331"
"2019-02-27","5348","5414","5339","5382","7939000","5382"
"2019-02-28","5400","5413","5334","5341","6069200","5341"
"2019-03-01","5358","5378","5308","5315","6311400","5315"
"2019-03-04","5399","5409","5317","5326","7139900","5326"
"2019-03-05","5289","5344","5271","5326","5958000","5326"
"2019-03-06","5330","5364","5309","5331","6581300","5331"
"2019-03-07","5286","5298","5221","5229","7195200","5229"
"2019-03-08","5140","5206","5060","5063","9633100","5063"
"2019-03-11","5015","5042","4961","5025","8416600","5025"
"2019-03-12","5144","5173","5120","5153","7810900","5153"
"2019-03-13","5153","5212","5108","5166","6844100","5166"
"2019-03-14","5200","5225","5128","5128","5176400","5128"
"2019-03-15","5097","5164","5072","5119","7371000","5119"
"2019-03-18","5113","5150","5085","5147","5964000","5147"
"2019-03-19","5147","5158","5096","5124","4887500","5124"
"2019-03-20","4900","4973","4895","4951","13554700","4951"
"2019-03-22","4765","4786","4680","4709","18504100","4709"
"2019-03-25","4550","4638","4507","4630","12922700","4630"
"2019-03-26","4652","4769","4643","4769","12663100","4769"
"2019-03-27","4780","4786","4703","4765","7537800","4765"
