9501 東証1部 東京電力ホールディングス(株)（電気・ガス業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2018-01-04","451","452","448","451","9063300","451"
"2018-01-05","452","458","452","458","10423500","458"
"2018-01-09","461","463","459","462","10026500","462"
"2018-01-10","463","471","463","468","13539200","468"
"2018-01-11","464","468","463","467","7472200","467"
"2018-01-12","465","465","458","460","8484200","460"
"2018-01-15","461","462","456","458","5181000","458"
"2018-01-16","457","459","455","457","5121700","457"
"2018-01-17","456","458","454","457","5690300","457"
"2018-01-18","459","459","452","452","7064700","452"
"2018-01-19","455","456","450","455","4636000","455"
"2018-01-22","455","457","452","456","5010000","456"
"2018-01-23","456","459","455","457","5295100","457"
"2018-01-24","456","460","455","460","5293800","460"
"2018-01-25","461","461","456","458","5757200","458"
"2018-01-26","457","460","455","457","4216200","457"
"2018-01-29","454","457","452","457","4280100","457"
"2018-01-30","455","455","448","451","6415200","451"
"2018-01-31","446","447","440","442","9443300","442"
"2018-02-01","445","446","441","445","6982000","445"
"2018-02-02","442","448","440","447","7829200","447"
"2018-02-05","441","445","440","444","12006200","444"
"2018-02-06","436","438","416","421","20123200","421"
"2018-02-07","429","430","415","416","14638000","416"
"2018-02-08","420","421","411","413","13175700","413"
"2018-02-09","399","400","395","398","13501200","398"
"2018-02-13","403","404","394","395","11890600","395"
"2018-02-14","395","397","387","389","12719700","389"
"2018-02-15","392","394","388","388","8759000","388"
"2018-02-16","392","406","391","405","13826000","405"
"2018-02-19","408","415","407","414","9412400","414"
"2018-02-20","416","418","413","417","9730400","417"
"2018-02-21","418","419","409","412","8818200","412"
"2018-02-22","406","407","400","401","10065700","401"
"2018-02-23","405","411","403","408","7256200","408"
"2018-02-26","412","420","412","416","7472800","416"
"2018-02-27","419","419","414","417","7524900","417"
"2018-02-28","413","417","410","412","8054700","412"
"2018-03-01","407","408","403","405","7037600","405"
"2018-03-02","399","400","394","396","10110300","396"
"2018-03-05","395","396","388","391","7927900","391"
"2018-03-06","398","402","397","400","9252600","400"
"2018-03-07","395","398","390","391","8960400","391"
"2018-03-08","393","395","388","389","6359200","389"
"2018-03-09","388","391","382","384","14341100","384"
"2018-03-12","387","391","387","390","7600700","390"
"2018-03-13","388","396","388","395","7416300","395"
"2018-03-14","394","396","392","393","9798200","393"
"2018-03-15","391","395","386","393","7652100","393"
"2018-03-16","394","394","386","388","14435400","388"
"2018-03-19","389","393","387","390","7463200","390"
"2018-03-20","391","400","391","398","11751500","398"
"2018-03-22","395","397","390","392","12146000","392"
"2018-03-23","386","392","383","385","11903200","385"
"2018-03-26","383","384","378","383","9654500","383"
"2018-03-27","385","397","383","395","9985200","395"
"2018-03-28","389","406","389","406","12624000","406"
"2018-03-29","409","414","407","413","9486500","413"
"2018-03-30","414","416","409","410","6996500","410"
"2018-04-02","411","414","411","411","4653300","411"
"2018-04-03","405","412","404","410","7640600","410"
"2018-04-04","408","412","403","410","13007300","410"
"2018-04-05","410","413","405","410","9137800","410"
