9501 東証1部 東京電力ホールディングス(株)（電気・ガス業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2019-01-04","652","699","652","698","25578200","698"
"2019-01-07","710","713","689","695","16299000","695"
"2019-01-08","692","717","685","713","16319200","713"
"2019-01-09","720","728","715","725","16247800","725"
"2019-01-10","716","731","710","727","15162100","727"
"2019-01-11","726","741","720","741","17079500","741"
"2019-01-15","746","749","709","710","21132000","710"
"2019-01-16","711","726","706","723","15936100","723"
"2019-01-17","721","741","711","740","14951500","740"
"2019-01-18","734","757","733","742","19790100","742"
"2019-01-21","746","757","735","740","14646700","740"
"2019-01-22","747","765","726","730","36204400","730"
"2019-01-23","732","738","717","728","14599900","728"
"2019-01-24","731","740","720","737","10564100","737"
"2019-01-25","740","755","737","751","15850800","751"
"2019-01-28","755","757","719","722","20017900","722"
"2019-01-29","728","750","720","749","25170800","749"
"2019-01-30","744","755","723","727","23101700","727"
"2019-01-31","710","717","668","669","42738800","669"
"2019-02-01","668","675","652","663","24715500","663"
"2019-02-04","668","682","662","680","23559000","680"
"2019-02-05","680","688","673","676","13539200","676"
"2019-02-06","677","678","659","670","12420000","670"
"2019-02-07","672","682","666","672","12988500","672"
"2019-02-08","665","668","656","661","13100900","661"
"2019-02-12","656","671","648","668","8646400","668"
"2019-02-13","660","668","654","662","9502300","662"
"2019-02-14","659","664","645","653","11555200","653"
"2019-02-15","652","653","639","651","10454200","651"
"2019-02-18","658","664","653","654","5939000","654"
"2019-02-19","656","665","655","658","7131600","658"
"2019-02-20","662","673","660","670","7792900","670"
"2019-02-21","669","678","666","673","8574400","673"
"2019-02-22","675","678","670","673","5950000","673"
"2019-02-25","679","688","675","686","7385000","686"
"2019-02-26","685","699","683","694","7272500","694"
"2019-02-27","697","706","696","700","9069500","700"
"2019-02-28","700","703","690","694","9831500","694"
"2019-03-01","697","699","687","688","7775100","688"
"2019-03-04","688","689","675","686","7152800","686"
"2019-03-05","681","686","677","679","6173600","679"
"2019-03-06","678","682","675","682","4139800","682"
"2019-03-07","683","688","679","681","5054800","681"
"2019-03-08","674","678","658","661","10028700","661"
"2019-03-11","667","688","666","686","8762900","686"
"2019-03-12","696","708","695","703","10007500","703"
"2019-03-13","696","709","692","700","8073900","700"
"2019-03-14","705","710","700","701","6824500","701"
"2019-03-15","708","710","700","702","12038400","702"
"2019-03-18","704","708","697","708","7007700","708"
"2019-03-19","703","703","693","693","7451900","693"
"2019-03-20","698","700","693","696","6940200","696"
"2019-03-22","701","708","696","708","9142300","708"
"2019-03-25","702","707","699","703","6700300","703"
"2019-03-26","706","723","706","716","13011900","716"
"2019-03-27","721","724","706","718","8596500","718"
"2019-03-28","710","712","703","708","7718400","708"
"2019-03-29","706","714","696","700","7928200","700"
"2019-04-01","707","716","706","707","7537500","707"
"2019-04-02","708","709","680","682","13110600","682"
