6758 東証1部 ソニー(株)（電気機器）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2020-01-06","7331","7429","7325","7420","5154100","7420"
"2020-01-07","7542","7703","7532","7655","11720000","7655"
"2020-01-08","7591","7702","7514","7660","11405100","7660"
"2020-01-09","7775","7839","7717","7804","9195400","7804"
"2020-01-10","7864","7916","7830","7843","7961300","7843"
"2020-01-14","7950","8113","7943","8036","13303600","8036"
"2020-01-15","7935","8016","7863","7880","11286400","7880"
"2020-01-16","7879","7993","7857","7936","6695700","7936"
"2020-01-17","8020","8037","7924","7924","6791500","7924"
"2020-01-20","7992","8013","7966","7991","4286200","7991"
"2020-01-21","8000","8007","7917","7944","4222100","7944"
"2020-01-22","7910","7981","7897","7959","5092900","7959"
"2020-01-23","7940","7987","7912","7950","4546700","7950"
"2020-01-24","7971","7971","7883","7939","3970200","7939"
"2020-01-27","7798","7933","7727","7865","6355700","7865"
"2020-01-28","7761","7830","7740","7773","5871200","7773"
"2020-01-29","7829","7858","7772","7835","4661000","7835"
"2020-01-30","7777","7778","7601","7667","7262500","7667"
"2020-01-31","7807","7818","7708","7718","5660500","7718"
"2020-02-03","7552","7731","7546","7703","5246400","7703"
"2020-02-04","7650","7726","7545","7700","8364300","7700"
"2020-02-05","7862","7911","7596","7659","14371600","7659"
"2020-02-06","7777","7858","7689","7845","9785200","7845"
"2020-02-07","7890","7900","7795","7826","5756000","7826"
"2020-02-10","7712","7749","7667","7691","6018000","7691"
"2020-02-12","7652","7733","7633","7717","5403800","7717"
"2020-02-13","7739","7762","7657","7670","4251200","7670"
"2020-02-14","7620","7654","7585","7622","5192800","7622"
"2020-02-17","7516","7557","7440","7452","5598500","7452"
"2020-02-18","7302","7375","7239","7265","7586200","7265"
"2020-02-19","7357","7422","7304","7370","4910300","7370"
"2020-02-20","7500","7603","7460","7522","6564400","7522"
"2020-02-21","7456","7548","7451","7479","4197200","7479"
"2020-02-25","7105","7315","7091","7269","8508500","7269"
"2020-02-26","7185","7185","7026","7155","7935200","7155"
"2020-02-27","7051","7058","6830","6877","10840100","6877"
