6758 東証1部 ソニー(株)（電気機器）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2014-01-06","1815","1830","1787","1802","10114200","1802"
"2014-01-07","1820","1820","1792","1800","7516600","1800"
"2014-01-08","1799","1827","1788","1825","10182500","1825"
"2014-01-09","1898","1920","1870","1894","37843200","1894"
"2014-01-10","1870","1883","1832","1835","25880600","1835"
"2014-01-14","1795","1804","1776","1793","19737400","1793"
"2014-01-15","1819","1820","1797","1808","9961500","1808"
"2014-01-16","1818","1847","1797","1804","13306800","1804"
"2014-01-17","1789","1792","1768","1780","12959700","1780"
"2014-01-20","1784","1792","1762","1767","9808100","1767"
"2014-01-21","1765","1785","1765","1771","6767200","1771"
"2014-01-22","1757","1761","1739","1756","13026600","1756"
"2014-01-23","1796","1800","1763","1764","13083700","1764"
"2014-01-24","1739","1786","1730","1763","13663200","1763"
"2014-01-27","1705","1718","1701","1711","11779000","1711"
"2014-01-28","1675","1708","1644","1665","23664100","1665"
"2014-01-29","1690","1694","1676","1690","9965000","1690"
"2014-01-30","1675","1675","1640","1651","11791500","1651"
"2014-01-31","1655","1665","1609","1626","12347600","1626"
"2014-02-03","1603","1621","1576","1581","11979200","1581"
"2014-02-04","1520","1554","1514","1530","18098700","1530"
"2014-02-05","1630","1650","1569","1600","21491200","1600"
"2014-02-06","1603","1627","1581","1624","11836000","1624"
"2014-02-07","1680","1707","1651","1691","33117000","1691"
"2014-02-10","1711","1737","1688","1702","18043900","1702"
"2014-02-12","1735","1768","1725","1765","20727900","1765"
"2014-02-13","1761","1763","1712","1729","12992700","1729"
"2014-02-14","1742","1765","1672","1703","14277300","1703"
"2014-02-17","1722","1725","1678","1718","11205200","1718"
"2014-02-18","1720","1784","1720","1780","14822500","1780"
"2014-02-19","1759","1762","1728","1748","11421900","1748"
"2014-02-20","1749","1758","1737","1741","9804800","1741"
"2014-02-21","1755","1779","1748","1766","13560300","1766"
"2014-02-24","1764","1795","1753","1775","11388200","1775"
"2014-02-25","1780","1785","1758","1766","8549800","1766"
"2014-02-26","1765","1790","1758","1764","8484600","1764"
"2014-02-27","1764","1776","1745","1757","6443200","1757"
"2014-02-28","1785","1797","1756","1780","15780800","1780"
"2014-03-03","1738","1762","1720","1760","9143500","1760"
"2014-03-04","1733","1757","1723","1746","8023100","1746"
"2014-03-05","1772","1794","1764","1783","9993000","1783"
"2014-03-06","1788","1842","1787","1825","21655200","1825"
"2014-03-07","1852","1863","1837","1844","13132500","1844"
"2014-03-10","1860","1885","1849","1864","16626800","1864"
"2014-03-11","1859","1885","1857","1867","13027300","1867"
"2014-03-12","1839","1859","1836","1840","9563300","1840"
"2014-03-13","1841","1864","1836","1839","6942900","1839"
"2014-03-14","1782","1794","1758","1761","13995800","1761"
"2014-03-17","1743","1748","1704","1728","10269600","1728"
"2014-03-18","1754","1756","1714","1720","7718100","1720"
"2014-03-19","1736","1756","1713","1731","10612800","1731"
"2014-03-20","1765","1784","1737","1757","16515500","1757"
"2014-03-24","1815","1824","1797","1798","12134700","1798"
"2014-03-25","1790","1845","1772","1837","12310400","1837"
"2014-03-26","1852","1874","1851","1871","15535100","1871"
"2014-03-27","1838","1890","1805","1881","14543200","1881"
"2014-03-28","1864","1905","1860","1897","11241200","1897"
"2014-03-31","1920","1985","1919","1972","29059800","1972"
"2014-04-01","1993","2030","1986","2011","28495100","2011"
"2014-04-02","2018","2029","1988","1990","21864800","1990"
"2014-04-03","2009","2010","1991","1991","8654100","1991"
"2014-04-04","1980","2010","1978","1994","9304800","1994"
"2014-04-07","1978","2000","1961","1988","9688800","1988"
"2014-04-08","1963","1983","1942","1961","10209200","1961"
"2014-04-09","1928","1947","1876","1895","14492700","1895"
"2014-04-10","1930","1933","1869","1879","9167200","1879"
"2014-04-11","1844","1892","1835","1876","11921500","1876"
"2014-04-14","1857","1894","1841","1870","8304400","1870"
"2014-04-15","1889","1897","1873","1879","7438500","1879"
"2014-04-16","1892","1923","1882","1923","11323200","1923"
"2014-04-17","1922","1929","1896","1908","8028700","1908"
"2014-04-18","1920","1934","1912","1932","5419700","1932"
"2014-04-21","1931","1954","1930","1932","5042900","1932"
"2014-04-22","1945","1957","1897","1899","8702600","1899"
"2014-04-23","1923","1929","1905","1919","6957200","1919"
"2014-04-24","1925","1930","1841","1859","11529500","1859"
"2014-04-25","1845","1868","1824","1836","7735300","1836"
"2014-04-28","1820","1826","1793","1815","6472900","1815"
"2014-04-30","1835","1842","1787","1792","6774100","1792"
"2014-05-01","1785","1817","1784","1810","5897700","1810"
"2014-05-02","1743","1807","1728","1800","20357400","1800"
"2014-05-07","1810","1813","1758","1760","8777300","1760"
"2014-05-08","1771","1778","1762","1766","5112200","1766"
"2014-05-09","1770","1787","1763","1764","6490900","1764"
"2014-05-12","1768","1774","1752","1754","4657400","1754"
"2014-05-13","1783","1801","1775","1786","6965500","1786"
"2014-05-14","1798","1811","1780","1805","6976600","1805"
"2014-05-15","1699","1706","1658","1695","29341200","1695"
"2014-05-16","1648","1652","1624","1646","15756300","1646"
"2014-05-19","1651","1652","1613","1627","9866100","1627"
"2014-05-20","1635","1638","1620","1625","7945900","1625"
"2014-05-21","1614","1619","1588","1614","10346600","1614"
"2014-05-22","1637","1649","1628","1645","12389800","1645"
"2014-05-23","1636","1646","1595","1632","16860100","1632"
"2014-05-26","1651","1706","1650","1683","12128600","1683"
"2014-05-27","1673","1707","1673","1685","9396500","1685"
"2014-05-28","1679","1680","1646","1654","11588300","1654"
"2014-05-29","1646","1648","1625","1636","12133400","1636"
"2014-05-30","1642","1650","1626","1627","9961200","1627"
"2014-06-02","1643","1674","1640","1654","12053900","1654"
"2014-06-03","1664","1668","1639","1643","9565700","1643"
"2014-06-04","1655","1664","1647","1661","6342500","1661"
"2014-06-05","1664","1679","1651","1656","7694600","1656"
"2014-06-06","1653","1661","1636","1643","8536600","1643"
"2014-06-09","1660","1674","1653","1658","6240000","1658"
"2014-06-10","1663","1670","1641","1647","6807000","1647"
"2014-06-11","1647","1650","1623","1635","8589200","1635"
"2014-06-12","1631","1640","1622","1639","5827700","1639"
"2014-06-13","1625","1648","1625","1645","7718500","1645"
"2014-06-16","1654","1673","1641","1648","7426700","1648"
"2014-06-17","1649","1651","1633","1637","7997100","1637"
"2014-06-18","1640","1648","1636","1644","5160000","1644"
"2014-06-19","1657","1726","1655","1705","16965500","1705"
"2014-06-20","1707","1715","1692","1704","6333100","1704"
"2014-06-23","1727","1738","1696","1715","8678500","1715"
"2014-06-24","1702","1714","1692","1708","5646400","1708"
"2014-06-25","1695","1717","1692","1703","5399200","1703"
"2014-06-26","1709","1714","1696","1703","5568100","1703"
"2014-06-27","1691","1698","1668","1679","7810300","1679"
"2014-06-30","1694","1698","1675","1682","5650600","1682"
"2014-07-01","1697","1720","1690","1705","8582300","1705"
"2014-07-02","1731","1736","1716","1721","9436600","1721"
"2014-07-03","1710","1712","1690","1696","8346500","1696"
"2014-07-04","1722","1727","1717","1720","6315500","1720"
"2014-07-07","1719","1737","1714","1730","6806000","1730"
"2014-07-08","1714","1724","1705","1718","5973500","1718"
"2014-07-09","1698","1701","1690","1697","6470400","1697"
"2014-07-10","1692","1701","1688","1688","5716200","1688"
"2014-07-11","1678","1682","1665","1674","5696100","1674"
"2014-07-14","1679","1683","1671","1681","3662000","1681"
"2014-07-15","1683","1686","1672","1675","3964400","1675"
"2014-07-16","1679","1684","1669","1680","4366100","1680"
"2014-07-17","1695","1710","1685","1688","5398000","1688"
"2014-07-18","1680","1682","1666","1680","4944600","1680"
"2014-07-22","1682","1693.5","1680","1681.5","4426300","1681.5"
"2014-07-23","1690","1703","1685","1699.5","5217600","1699.5"
"2014-07-24","1711.5","1766.5","1706","1742.5","15591700","1742.5"
"2014-07-25","1763","1795","1762.5","1791.5","12996000","1791.5"
"2014-07-28","1794","1819","1790","1798.5","7877900","1798.5"
"2014-07-29","1795.5","1809.5","1777.5","1784","6395000","1784"
"2014-07-30","1777.5","1796.5","1777","1791","4606300","1791"
"2014-07-31","1798","1805","1770.5","1772","6325700","1772"
"2014-08-01","1880","1887","1833","1855","26453300","1855"
"2014-08-04","1836","1878.5","1831","1866","8987700","1866"
"2014-08-05","1860","1871","1844.5","1849","6965900","1849"
"2014-08-06","1838","1838.5","1800","1812","8238800","1812"
"2014-08-07","1816","1818","1766.5","1786.5","10963100","1786.5"
"2014-08-08","1775.5","1783.5","1731","1745.5","12282800","1745.5"
"2014-08-11","1777","1780","1755.5","1763.5","6307400","1763.5"
"2014-08-12","1772","1787.5","1770","1774.5","5043500","1774.5"
"2014-08-13","1779.5","1829","1779","1815.5","11271400","1815.5"
"2014-08-14","1829","1857","1827","1835","8512100","1835"
"2014-08-15","1860","1883.5","1859","1874","11139500","1874"
"2014-08-18","1887","1897.5","1875","1877","6931600","1877"
"2014-08-19","1898","1915","1891","1913.5","10326900","1913.5"
"2014-08-20","1932","1943.5","1924","1937","9427000","1937"
"2014-08-21","1947.5","1956.5","1932","1952","9327900","1952"
"2014-08-22","1965","1975.5","1948","1954.5","10223300","1954.5"
"2014-08-25","1966","1984.5","1964","1972","6879700","1972"
"2014-08-26","1972","1980","1954","1956","7211100","1956"
"2014-08-27","1950","1972.5","1947","1956.5","5897500","1956.5"
"2014-08-28","1955.5","1977","1950.5","1966","10338000","1966"
"2014-08-29","1963","2000","1961.5","1990","10667600","1990"
"2014-09-01","1982","2020","1980","2015.5","9915000","2015.5"
"2014-09-02","2028.5","2038","2012","2019","7766700","2019"
"2014-09-03","2048","2083","2043","2073","12897900","2073"
"2014-09-04","2070","2077","2051.5","2056","5506700","2056"
"2014-09-05","2067.5","2069","2006","2016","10703300","2016"
"2014-09-08","2025.5","2033","2002.5","2017.5","4993100","2017.5"
"2014-09-09","2034","2054.5","2027","2042","7185200","2042"
"2014-09-10","2042","2058","2037","2048.5","5703100","2048.5"
"2014-09-11","2070","2118","2068","2104.5","12614700","2104.5"
"2014-09-12","2154.5","2169","2119","2127","15693100","2127"
"2014-09-16","2127","2173","2120.5","2163","12322600","2163"
"2014-09-17","2156","2162","2120","2123.5","8757500","2123.5"
"2014-09-18","1865.5","1955.5","1844","1940","85416300","1940"
"2014-09-19","1940.5","1952","1900","1921","33958200","1921"
"2014-09-22","1921","1932","1885","1896.5","16839200","1896.5"
"2014-09-24","1880","1886.5","1866.5","1874","13849100","1874"
"2014-09-25","1887.5","1913.5","1881","1901","13111100","1901"
"2014-09-26","1880.5","1901.5","1880.5","1899","10069500","1899"
"2014-09-29","1925","1968.5","1914","1959","17061000","1959"
"2014-09-30","1956","1999","1946","1991","17400600","1991"
"2014-10-01","1981","2009","1966","1968.5","14407200","1968.5"
"2014-10-02","1935","1955","1900","1904.5","14267200","1904.5"
"2014-10-03","1903","1925","1872","1895","13644600","1895"
"2014-10-06","1932","1952","1903","1937","11345900","1937"
"2014-10-07","1935","1944.5","1907","1913","10721400","1913"
"2014-10-08","1874.5","1924.5","1872.5","1915","8505800","1915"
"2014-10-09","1915","1925","1880","1882.5","9073200","1882.5"
"2014-10-10","1850","1897.5","1848","1882","9638800","1882"
"2014-10-14","1840","1855","1794","1822","14670300","1822"
"2014-10-15","1831","1878.5","1823.5","1849.5","10218200","1849.5"
"2014-10-16","1804","1821.5","1782","1789.5","14140800","1789.5"
"2014-10-17","1816","1843","1797","1805","9725200","1805"
"2014-10-20","1847.5","1883","1831","1875","9771800","1875"
"2014-10-21","1874","1882","1842.5","1847","10295200","1847"
"2014-10-22","1865","1913","1847.5","1909","12361400","1909"
"2014-10-23","1898.5","1915.5","1881","1901.5","6329300","1901.5"
"2014-10-24","1930","1933","1879.5","1886.5","7733600","1886.5"
"2014-10-27","1908.5","1915.5","1880.5","1883.5","4945600","1883.5"
"2014-10-28","1877","1910","1872","1898.5","5307700","1898.5"
"2014-10-29","1910","2004","1907","2001.5","18171200","2001.5"
"2014-10-30","1997","2055","1970.5","2055","16419200","2055"
"2014-10-31","2030","2105","2015","2072","19141500","2072"
"2014-11-04","2279","2320","2268","2301","34138600","2301"
"2014-11-05","2277","2312","2255","2309.5","17777200","2309.5"
"2014-11-06","2297.5","2306","2228","2231","13571600","2231"
"2014-11-07","2281","2299.5","2243.5","2258","10553100","2258"
"2014-11-10","2252","2344","2247","2344","20790000","2344"
"2014-11-11","2350","2377","2337.5","2354","12976200","2354"
"2014-11-12","2375","2393","2361.5","2365.5","10398400","2365.5"
