9501 東証1部 東京電力ホールディングス(株)（電気・ガス業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2015-01-05","499","510","494","505","46978000","505"
"2015-01-06","498","518","498","501","70630400","501"
"2015-01-07","507","513","486","488","63192700","488"
"2015-01-08","495","501","481","492","42181000","492"
"2015-01-09","496","498","485","489","23524200","489"
"2015-01-13","485","485","468","484","31741000","484"
"2015-01-14","480","485","473","474","20032400","474"
"2015-01-15","474","484","470","480","19285700","480"
"2015-01-16","474","479","460","472","29619800","472"
"2015-01-19","472","475","467","470","11444800","470"
"2015-01-20","471","480","471","478","13574900","478"
"2015-01-21","481","483","470","475","16041500","475"
"2015-01-22","478","483","473","475","14211600","475"
"2015-01-23","480","481","473","476","8942700","476"
"2015-01-26","471","475","467","473","9249100","473"
"2015-01-27","477","498","476","495","50308100","495"
"2015-01-28","491","508","486","505","55317100","505"
"2015-01-29","499","508","492","494","28264900","494"
"2015-01-30","502","513","498","502","60011300","502"
"2015-02-02","489","493","480","482","40353100","482"
"2015-02-03","486","487","475","475","18560400","475"
"2015-02-04","479","482","473","476","12694400","476"
"2015-02-05","477","479","469","470","17598500","470"
"2015-02-06","473","475","469","471","10519000","471"
"2015-02-09","472","475","470","475","10234900","475"
"2015-02-10","478","483","475","482","14351800","482"
"2015-02-12","486","488","482","486","17470500","486"
"2015-02-13","486","487","481","482","12668800","482"
"2015-02-16","483","485","479","481","8501600","481"
"2015-02-17","480","481","477","481","8933300","481"
"2015-02-18","480","481","473","475","16367800","475"
"2015-02-19","474","482","474","479","12098700","479"
"2015-02-20","481","482","478","479","6597200","479"
"2015-02-23","480","481","474","476","7654800","476"
"2015-02-24","478","480","476","480","5639000","480"
"2015-02-25","477","479","476","477","7837600","477"
"2015-02-26","475","476","471","474","12796200","474"
"2015-02-27","473","475","468","469","11488800","469"
"2015-03-02","468","470","466","468","6608900","468"
"2015-03-03","467","469","457","464","14787400","464"
"2015-03-04","464","467","458","466","10525500","466"
"2015-03-05","465","473","464","469","11415400","469"
"2015-03-06","469","473","468","471","8069600","471"
"2015-03-09","467","468","461","464","8839700","464"
"2015-03-10","464","466","461","463","7423600","463"
"2015-03-11","459","467","458","464","7531800","464"
"2015-03-12","465","468","462","464","9492500","464"
"2015-03-13","470","471","461","462","13535700","462"
"2015-03-16","462","463","453","454","13040200","454"
"2015-03-17","454","456","448","450","14451500","450"
"2015-03-18","450","451","445","447","11049200","447"
"2015-03-19","444","453","442","452","13638700","452"
"2015-03-20","455","466","450","461","20454500","461"
"2015-03-23","460","462","455","456","12065200","456"
"2015-03-24","455","462","451","461","11257300","461"
"2015-03-25","461","465","453","458","10730300","458"
"2015-03-26","456","457","450","453","8157700","453"
"2015-03-27","451","458","450","453","11100600","453"
"2015-03-30","450","461","450","458","12555500","458"
"2015-03-31","460","463","455","455","11139700","455"
"2015-04-01","455","458","452","453","9728700","453"
"2015-04-02","452","460","452","457","9488500","457"
"2015-04-03","457","458","452","455","6139100","455"
"2015-04-06","453","459","451","457","6453700","457"
"2015-04-07","459","464","455","458","9781500","458"
"2015-04-08","460","465","457","465","10660600","465"
"2015-04-09","466","483","462","481","32596500","481"
"2015-04-10","480","480","465","466","22050300","466"
"2015-04-13","466","467","457","458","10151400","458"
"2015-04-14","456","464","456","464","9762400","464"
"2015-04-15","459","483","459","479","29516100","479"
"2015-04-16","479","484","474","483","16306100","483"
"2015-04-17","483","483","477","478","10307400","478"
"2015-04-20","477","480","473","475","7822500","475"
"2015-04-21","475","485","474","483","19955700","483"
"2015-04-22","485","488","481","484","18859200","484"
"2015-04-23","485","486","483","485","8292600","485"
"2015-04-24","484","491","482","488","17639100","488"
"2015-04-27","492","495","489","489","13186800","489"
"2015-04-28","490","494","484","489","13770300","489"
"2015-04-30","488","491","485","490","12146900","490"
"2015-05-01","491","491","479","485","11014900","485"
"2015-05-07","485","506","484","504","46874800","504"
"2015-05-08","503","514","499","512","45962000","512"
"2015-05-11","515","521","507","512","27463900","512"
"2015-05-12","514","519","508","518","15773300","518"
"2015-05-13","518","528","516","526","32457700","526"
"2015-05-14","526","528","513","517","16102100","517"
"2015-05-15","519","522","511","514","10068300","514"
"2015-05-18","512","520","511","520","11011600","520"
"2015-05-19","520","527","517","519","15625900","519"
"2015-05-20","523","549","522","549","40002400","549"
"2015-05-21","554","630","550","586","288587600","586"
"2015-05-22","594","598","572","585","83354300","585"
"2015-05-25","600","627","598","624","147399800","624"
"2015-05-26","620","645","610","645","150241700","645"
"2015-05-27","635","670","635","666","192443100","666"
"2015-05-28","676","730","676","707","298318600","707"
"2015-05-29","714","714","692","709","131461300","709"
"2015-06-01","698","747","697","736","160792300","736"
"2015-06-02","748","772","718","743","336347500","743"
"2015-06-03","734","754","725","746","185802900","746"
"2015-06-04","755","760","707","710","197819600","710"
"2015-06-05","695","715","683","713","209051600","713"
"2015-06-08","718","720","685","693","119672600","693"
"2015-06-09","678","693","668","668","114924100","668"
"2015-06-10","673","684","669","676","112352200","676"
"2015-06-11","683","691","674","678","81321600","678"
"2015-06-12","680","680","668","670","54886200","670"
"2015-06-15","660","670","654","660","58351500","660"
"2015-06-16","658","691","657","688","92093400","688"
"2015-06-17","693","697","666","668","94246700","668"
"2015-06-18","669","685","668","678","70689200","678"
"2015-06-19","681","685","666","670","70684200","670"
"2015-06-22","670","678","662","676","50286500","676"
"2015-06-23","680","702","675","696","82671500","696"
"2015-06-24","692","704","686","696","56815300","696"
"2015-06-25","695","709","694","698","91920700","698"
"2015-06-26","700","701","681","683","34552600","683"
"2015-06-29","660","674","658","664","49575700","664"
"2015-06-30","668","671","664","667","29559200","667"
"2015-07-01","670","673","659","662","24809400","662"
"2015-07-02","669","670","661","662","16646700","662"
"2015-07-03","661","668","657","667","24107500","667"
"2015-07-06","659","665","649","655","24079700","655"
"2015-07-07","660","704","658","700","58512200","700"
"2015-07-08","705","708","674","679","58110200","679"
"2015-07-09","667","701","653","700","77111300","700"
"2015-07-10","697","699","680","682","42979700","682"
"2015-07-13","690","705","684","701","49504800","701"
"2015-07-14","713","737","709","715","108193600","715"
"2015-07-15","724","725","710","716","59518700","716"
"2015-07-16","719","745","714","743","81392400","743"
"2015-07-17","740","744","732","740","60553300","740"
"2015-07-21","747","774","743","768","107087900","768"
"2015-07-22","761","798","759","787","167153000","787"
"2015-07-23","796","807","774","785","92328900","785"
"2015-07-24","791","797","779","786","51193100","786"
"2015-07-27","781","784","760","765","44424800","765"
"2015-07-28","753","806","748","801","104006800","801"
"2015-07-29","806","814","791","798","78144800","798"
"2015-07-30","817","848","807","838","168789300","838"
"2015-07-31","839","890","836","890","163758900","890"
"2015-08-03","879","939","867","874","292343000","874"
"2015-08-04","875","922","856","918","202584900","918"
"2015-08-05","927","930","893","898","172077500","898"
"2015-08-06","906","922","867","872","181383300","872"
"2015-08-07","878","889","855","885","144844800","885"
"2015-08-10","860","861","803","830","200430000","830"
"2015-08-11","836","849","813","834","133041400","834"
"2015-08-12","835","855","829","853","83306000","853"
"2015-08-13","854","898","852","893","128151700","893"
"2015-08-14","889","915","870","883","146274500","883"
"2015-08-17","895","904","886","900","70282400","900"
"2015-08-18","910","912","886","891","87524600","891"
"2015-08-19","886","908","882","888","84984200","888"
"2015-08-20","893","898","871","873","53871900","873"
"2015-08-21","852","865","837","842","66702500","842"
"2015-08-24","827","832","763","775","113489700","775"
"2015-08-25","746","841","711","771","181670300","771"
"2015-08-26","816","840","794","838","84494900","838"
"2015-08-27","851","864","818","831","79211700","831"
"2015-08-28","846","853","828","842","55943300","842"
"2015-08-31","839","850","828","830","49568200","830"
"2015-09-01","818","820","781","781","71681700","781"
"2015-09-02","761","808","760","788","77598400","788"
"2015-09-03","802","815","777","780","55497300","780"
"2015-09-04","790","795","761","780","52516100","780"
"2015-09-07","769","791","753","775","57846400","775"
"2015-09-08","780","781","751","751","35728200","751"
"2015-09-09","790","795","774","795","62447200","795"
"2015-09-10","784","829","777","827","108242600","827"
"2015-09-11","816","846","815","831","86092700","831"
"2015-09-14","836","844","812","820","56722400","820"
"2015-09-15","826","828","804","818","48258400","818"
"2015-09-16","823","824","790","799","54266700","799"
"2015-09-17","800","821","793","818","38485000","818"
"2015-09-18","813","815","801","804","29703500","804"
"2015-09-24","790","806","787","791","26557100","791"
"2015-09-25","795","819","791","819","41905500","819"
"2015-09-28","826","833","809","818","35561200","818"
"2015-09-29","808","813","784","795","38294400","795"
"2015-09-30","805","807","766","797","51258800","797"
"2015-10-01","800","820","786","817","42377200","817"
"2015-10-02","816","827","807","812","32520700","812"
"2015-10-05","818","825","815","823","21352500","823"
"2015-10-06","828","833","821","825","24037700","825"
"2015-10-07","827","843","824","841","38802100","841"
"2015-10-08","848","855","832","832","38436000","832"
"2015-10-09","837","842","825","839","28222000","839"
"2015-10-13","839","847","835","842","19739000","842"
"2015-10-14","837","840","823","825","22005900","825"
"2015-10-15","821","837","815","837","23685100","837"
"2015-10-16","841","848","838","842","23308100","842"
"2015-10-19","847","876","842","871","67922800","871"
"2015-10-20","875","876","828","832","52227700","832"
"2015-10-21","833","843","823","843","24196700","843"
"2015-10-22","839","848","835","839","15369100","839"
"2015-10-23","850","851","835","836","19338300","836"
"2015-10-26","841","845","836","838","12808800","838"
"2015-10-27","838","847","834","840","12814300","840"
"2015-10-28","841","843","834","836","11316100","836"
"2015-10-29","837","839","826","828","12803300","828"
"2015-10-30","837","841","816","829","27655700","829"
"2015-11-02","820","823","806","810","19379500","810"
"2015-11-04","814","818","801","801","16769600","801"
"2015-11-05","799","800","781","793","24558700","793"
"2015-11-06","796","811","795","809","14526200","809"
"2015-11-09","811","816","803","808","13828000","808"
"2015-11-10","803","806","797","801","11135100","801"
"2015-11-11","798","802","794","799","12958500","799"
"2015-11-12","799","805","797","800","9918800","800"
"2015-11-13","795","799","790","790","9295600","790"
"2015-11-16","775","787","774","779","10470900","779"
"2015-11-17","786","790","783","785","9411800","785"
"2015-11-18","785","790","781","783","9229400","783"
"2015-11-19","788","789","780","782","8313100","782"
"2015-11-20","783","785","777","781","7848500","781"
"2015-11-24","778","780","770","770","10116500","770"
"2015-11-25","766","802","763","792","39747600","792"
"2015-11-26","786","796","782","783","13088400","783"
"2015-11-27","785","785","766","768","12065000","768"
"2015-11-30","768","772","752","754","13679700","754"
"2015-12-01","752","773","752","773","13828800","773"
"2015-12-02","772","780","769","775","8493600","775"
"2015-12-03","775","778","766","766","10070600","766"
"2015-12-04","759","764","757","764","11699300","764"
"2015-12-07","770","770","763","764","6780200","764"
"2015-12-08","763","764","754","755","8942000","755"
"2015-12-09","756","763","751","753","9635700","753"
"2015-12-10","750","765","748","756","12120100","756"
"2015-12-11","750","756","750","753","9322700","753"
"2015-12-14","743","744","718","738","21787100","738"
"2015-12-15","737","744","728","731","10734600","731"
"2015-12-16","737","739","729","732","7798100","732"
"2015-12-17","739","759","735","756","19547000","756"
"2015-12-18","749","762","736","737","17190100","737"
"2015-12-21","733","734","716","732","13298300","732"
"2015-12-22","732","733","720","733","13257100","733"
"2015-12-24","734","743","718","722","11208700","722"
"2015-12-25","714","717","671","673","29177400","673"
"2015-12-28","663","694","663","692","19857500","692"
"2015-12-29","687","697","675","692","11573700","692"
"2015-12-30","690","705","690","699","10905700","699"
