9501 東証1部 東京電力ホールディングス(株)（電気・ガス業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2017-01-04","482","506","480","493","30599500","493"
"2017-01-05","490","493","482","487","16790900","487"
"2017-01-06","480","484","477","479","11575700","479"
"2017-01-10","478","481","472","474","11729700","474"
"2017-01-11","473","487","473","477","14412500","477"
"2017-01-12","475","478","464","470","14899000","470"
"2017-01-13","465","475","465","472","16150800","472"
"2017-01-16","469","474","462","467","13764400","467"
"2017-01-17","464","466","455","456","14787200","456"
"2017-01-18","451","461","451","461","11317300","461"
"2017-01-19","477","484","466","467","21382200","467"
"2017-01-20","468","469","461","465","10267000","465"
"2017-01-23","461","462","455","458","7570000","458"
"2017-01-24","452","454","444","447","14236900","447"
"2017-01-25","451","456","442","445","12826600","445"
"2017-01-26","450","454","445","446","12110000","446"
"2017-01-27","448","450","442","448","9192000","448"
"2017-01-30","444","445","438","440","15528200","440"
"2017-01-31","435","435","430","433","11438300","433"
"2017-02-01","433","443","433","439","11376100","439"
"2017-02-02","439","439","427","429","10227400","429"
"2017-02-03","428","429","422","425","10241800","425"
"2017-02-06","428","429","416","419","11681300","419"
"2017-02-07","416","427","415","423","12038800","423"
"2017-02-08","422","430","422","427","7469600","427"
"2017-02-09","428","429","421","424","6827200","424"
"2017-02-10","430","434","428","433","9749600","433"
"2017-02-13","438","439","430","432","7244500","432"
"2017-02-14","435","436","430","430","5978400","430"
"2017-02-15","434","434","429","429","4964100","429"
"2017-02-16","430","431","421","424","6253100","424"
"2017-02-17","421","427","421","423","7360800","423"
"2017-02-20","425","434","424","433","9519100","433"
"2017-02-21","434","442","433","440","11333100","440"
"2017-02-22","445","446","438","441","13929100","441"
"2017-02-23","437","438","428","433","9682000","433"
"2017-02-24","432","437","431","435","8700400","435"
"2017-02-27","432","432","425","429","5850400","429"
"2017-02-28","432","437","431","432","9009200","432"
"2017-03-01","434","434","430","431","7325000","431"
"2017-03-02","442","443","434","435","9081800","435"
"2017-03-03","435","435","431","433","6066800","433"
